datetime,se1_profiled_supply_losses,se2_profiled_supply_losses,se3_profiled_supply_losses,se4_profiled_supply_losses,se1_metered_losses,se2_metered_losses,se3_metered_losses,se4_metered_losses
2018-01-12 11:00:00,-36.173873,-74.247505,-370.958976,-120.115729,,,,
2018-01-12 12:00:00,-36.227066,-73.20716,-370.817501,-120.06788,,,,
2018-01-12 13:00:00,-35.531663,-72.382825,-370.831051,-119.804441,,,,
2018-01-12 14:00:00,-36.035734,-72.925204,-373.884082,-121.047558,,,,
2018-01-12 15:00:00,-37.11948,-76.050169,-390.807017,-125.017962,,,,
2018-01-12 16:00:00,-38.049079,-79.91483,-420.26074,-136.081424,,,,
2018-01-12 17:00:00,-37.844641,-80.369162,-439.151392,-143.653835,,,,
2018-01-12 18:00:00,-36.905344,-79.217703,-439.599478,-142.630992,,,,
2018-01-12 19:00:00,-35.952166,-77.20124,-424.17445,-136.863276,,,,
2018-01-12 20:00:00,-34.871053,-75.126148,-401.991041,-129.784844,,,,
2018-01-12 21:00:00,-33.927056,-73.093627,-382.028037,-123.389256,,,,
2018-01-12 22:00:00,-33.048432,-71.212255,-362.851679,-117.327703,,,,
2018-01-12 23:00:00,-31.92874,-68.900749,-340.498961,-110.068357,,,,
2018-01-13 00:00:00,-31.091245,-67.363125,-321.357461,-104.632505,,,,
2018-01-13 01:00:00,-30.769825,-66.639668,-311.057433,-101.372349,,,,
2018-01-13 02:00:00,-30.748051,-66.530592,-306.709917,-99.884161,,,,
2018-01-13 03:00:00,-31.003944,-66.897181,-305.197251,-99.586445,,,,
2018-01-13 04:00:00,-31.440982,-67.525787,-305.777441,-99.622972,,,,
2018-01-13 05:00:00,-31.821742,-68.549212,-310.335497,-101.36167,,,,
2018-01-13 06:00:00,-32.495497,-69.997539,-318.871161,-104.70426,,,,
2018-01-13 07:00:00,-33.440939,-72.018455,-334.18977,-109.943171,,,,
2018-01-13 08:00:00,-34.757568,-74.219231,-356.839769,-116.501665,,,,
2018-01-13 09:00:00,-35.414219,-75.592192,-375.531004,-123.153247,,,,
2018-01-13 10:00:00,-36.023954,-76.395021,-394.955196,-128.388117,,,,
2018-01-13 11:00:00,-36.098534,-75.960203,-404.3129,-131.672169,,,,
2018-01-13 12:00:00,-35.87022,-74.603472,-408.558493,-132.867116,,,,
2018-01-13 13:00:00,-35.452599,-73.21614,-405.865889,-132.376662,,,,
2018-01-13 14:00:00,-36.06219,-73.472792,-405.905591,-132.47533,,,,
2018-01-13 15:00:00,-37.476581,-76.481453,-415.884089,-135.000766,,,,
2018-01-13 16:00:00,-38.483928,-79.840546,-434.911276,-143.309047,,,,
2018-01-13 17:00:00,-38.181493,-79.899114,-445.561316,-147.889936,,,,
2018-01-13 18:00:00,-37.472839,-77.963783,-440.531269,-146.300655,,,,
2018-01-13 19:00:00,-36.542407,-75.660554,-423.530123,-140.305337,,,,
2018-01-13 20:00:00,-35.378165,-73.26409,-403.446301,-133.473869,,,,
2018-01-13 21:00:00,-34.299296,-71.17956,-383.733725,-127.994593,,,,
2018-01-13 22:00:00,-33.165314,-68.910024,-363.082184,-121.628215,,,,
2018-01-13 23:00:00,-31.847411,-66.58963,-342.817148,-115.266165,,,,
2018-01-14 00:00:00,-30.993721,-64.442777,-326.071476,-110.093069,,,,
2018-01-14 01:00:00,-30.370901,-63.182155,-314.183062,-106.711141,,,,
2018-01-14 02:00:00,-30.10418,-62.423847,-309.407111,-104.81983,,,,
2018-01-14 03:00:00,-30.047677,-62.097566,-308.138011,-104.167954,,,,
2018-01-14 04:00:00,-30.105026,-62.162885,-308.127154,-104.338524,,,,
2018-01-14 05:00:00,-30.338032,-62.536243,-311.727047,-105.544863,,,,
2018-01-14 06:00:00,-30.589902,-63.031633,-318.451213,-107.953754,,,,
2018-01-14 07:00:00,-31.244219,-63.831769,-330.480892,-112.118839,,,,
2018-01-14 08:00:00,-32.223448,-65.272029,-349.052268,-118.102985,,,,
2018-01-14 09:00:00,-32.741358,-66.265541,-371.881836,-124.661922,,,,
2018-01-14 10:00:00,-33.398925,-67.208329,-391.102579,-130.628131,,,,
2018-01-14 11:00:00,-33.817999,-67.070351,-402.62855,-134.562431,,,,
2018-01-14 12:00:00,-33.708683,-66.149695,-406.782079,-136.635815,,,,
2018-01-14 13:00:00,-33.579798,-64.981985,-405.597392,-136.421818,,,,
2018-01-14 14:00:00,-34.011514,-64.864923,-404.789488,-135.96978,,,,
2018-01-14 15:00:00,-35.317321,-67.5605,-414.960437,-138.876183,,,,
