datetime,se1_metered_consumption_excluding_interruptible_load,se2_metered_consumption_excluding_interruptible_load,se3_metered_consumption_excluding_interruptible_load,se4_metered_consumption_excluding_interruptible_load,se1_interruptible_load,se2_interruptible_load,se3_interruptible_load,se4_interruptible_load,se1_profiled_supply_consumption,se2_profiled_supply_consumption,se3_profiled_supply_consumption,se4_profiled_supply_consumption,se1_metered_consumption_over_50mw,se2_metered_consumption_over_50mw,se3_metered_consumption_over_50mw,se4_metered_consumption_over_50mw,se1_energy_storage_consumption,se2_energy_storage_consumption,se3_energy_storage_consumption,se4_energy_storage_consumption
2018-01-05 11:00:00,-1064.582066,-1836.5627660000002,-7755.38387,-2047.102445,-4.050621,-4.96595,-37.95651,-1.819,-376.657907,-762.535285,-4695.767883,-1569.316411,,,,,,,,
2018-01-05 12:00:00,-1072.8423169999999,-1801.7951850000002,-7714.702964999999,-1990.347507,-7.239295,-5.99415,-34.569198,-2.021,-376.150706,-760.314525,-4746.538518,-1568.409299,,,,,,,,
2018-01-05 13:00:00,-1075.998925,-1779.468303,-7551.846099000001,-1970.5092740000002,-4.224233,-6.2199,-33.856282,-1.906,-376.411911,-758.525381,-4768.755041,-1555.353736,,,,,,,,
2018-01-05 14:00:00,-1056.97768,-1777.5311679999998,-7396.788493,-1901.335453,-5.665422,-5.90205,-35.588918,-1.832,-385.47153,-771.727748,-4831.042976,-1561.573272,,,,,,,,
2018-01-05 15:00:00,-1052.130011,-1765.1226620000002,-7449.138906000001,-1856.4811439999999,-7.304336,-6.26435,-38.810466,-2.036,-395.645503,-819.025816,-5070.912619,-1628.049486,,,,,,,,
2018-01-05 16:00:00,-1018.2212920000001,-1709.5860630000002,-7277.418758,-1782.335255,-4.370815,-5.6031,-43.54395,-2.197,-403.830781,-856.688688,-5378.771132,-1776.18137,,,,,,,,
2018-01-05 17:00:00,-1027.7473800000002,-1681.855353,-7125.014872000001,-1706.9870110000002,-12.294532,-5.58165,-42.637122,-2.133,-404.366294,-862.466265,-5576.468572,-1849.300186,,,,,,,,
2018-01-05 18:00:00,-1007.886911,-1648.1784589999997,-6909.875046000001,-1641.4364839999996,-4.295732,-4.79735,-40.283934,-2.112,-394.471774,-841.20361,-5558.191377,-1820.514466,,,,,,,,
2018-01-05 19:00:00,-986.8441639999999,-1646.3104709999998,-6720.802762000001,-1572.9935939999998,-6.491516,-4.52625,-37.801366,-2.114,-382.337506,-814.318204,-5361.671754,-1741.955005,,,,,,,,
2018-01-05 20:00:00,-952.3346419999999,-1577.3222830000002,-6491.710756999999,-1523.0314799999996,-13.92841,-4.52175,-39.684196,-2.136,-368.594836,-786.383387,-5123.379358,-1655.582904,,,,,,,,
