datetime,se3_metered_consumption_excluding_interruptible_load,se3_interruptible_load,se3_profiled_supply_consumption,se3_metered_consumption_over_50mw,se3_energy_storage_consumption
2021-01-04 00:00:00,-4936.417527000015,-90.10634800000001,-4074.321629,-619.565855,
2021-01-04 01:00:00,-4899.3840789999995,-89.780498,-3964.72111,-605.3758829999999,
2021-01-04 02:00:00,-4868.859534000016,-89.745478,-3912.60381,-606.382561,
2021-01-04 03:00:00,-4848.584,-89.750062,-3916.006281,-607.541763,
2021-01-04 04:00:00,-4953.190772000017,-89.065106,-3942.029329,-606.413914,
2021-01-04 05:00:00,-5214.25111600001,-89.560926,-4037.953378,-617.558944,
2021-01-04 06:00:00,-5860.545017000001,-88.29140199999999,-4228.914811,-621.782293,
2021-01-04 07:00:00,-6386.128232999997,-90.361206,-4439.883098,-624.251,
2021-01-04 08:00:00,-6645.548859999993,-89.668106,-4637.573964,-622.5191709999999,
2021-01-04 09:00:00,-6661.612157999987,-89.680516,-4730.214634,-625.417411,
2021-01-04 10:00:00,-6745.232803000025,-83.21890800000001,-4840.325956,-633.163857,
2021-01-04 11:00:00,-6781.370260000006,-83.100162,-4921.600856,-643.242542,
2021-01-04 12:00:00,-6801.11286899999,-79.05151000000001,-4998.724237,-655.488703,
2021-01-04 13:00:00,-6865.256801000035,-76.671286,-4976.617601,-660.5187149999999,
2021-01-04 14:00:00,-6874.61375800002,-66.995774,-4978.424751,-712.4365,
2021-01-04 15:00:00,-6866.386750000031,-61.345678,-5144.222146,-693.436368,
2021-01-04 16:00:00,-6751.506011999996,-60.750454,-5398.516367,-706.791553,
2021-01-04 17:00:00,-6597.483274,-60.36018000000001,-5585.506325,-697.033556,
2021-01-04 18:00:00,-6358.543820999997,-69.282396,-5545.246229,-696.0194409999999,
2021-01-04 19:00:00,-6119.999949000027,-82.63414199999998,-5355.061923,-716.11221,
2021-01-04 20:00:00,-5909.817723999997,-87.795934,-5114.807148,-728.658612,
2021-01-04 21:00:00,-5699.93335100002,-88.781774,-4842.652969,-727.085618,
2021-01-04 22:00:00,-5451.298226000002,-88.701222,-4539.890874,-723.8560810000001,
